fruit_name,total_purchase_cost_optimized,total_risk_penalty_optimized,total_holding_cost_optimized,total_cost_optimized,total_purchase_cost_heuristic,total_risk_penalty_heuristic,total_holding_cost_heuristic,total_cost_heuristic,cost_saving,cost_saving_rate
Apple,27955.16,447.28999999999996,10.47,28412.92,30750.68,492.0,0.0,31242.68,2829.76,0.0906
Banana,31029.76,1489.43,4.65,32523.839999999997,32581.24,1563.88,0.0,34145.12,1621.28,0.0475
Grape,35094.44,2246.04,0.0,37340.479999999996,35094.44,2246.04,0.0,37340.479999999996,0.0,0.0
Orange,17338.07,554.8199999999999,8.68,17901.57,19088.54,610.83,0.0,19699.370000000003,1797.8,0.0913
Pear,25731.56,2058.52,0.0,27790.08,25731.56,2058.52,0.0,27790.08,0.0,0.0
