fruit_name,data_frequency,train_points,test_points,test_start_date,test_end_date,selected_model,selected_family,selected_params,level_adf_pvalue,diff1_adf_pvalue,seasonality_candidate,model_rationale,rmse,mae,mape
Apple,weekly,478,8,2026-03-06,2026-04-24,arima_0_1_1,ARIMA,"order=(0, 1, 1)",0.0,0.0,True,"Selected ARIMA with order=(0, 1, 1). ADF(level)=0.0000, ADF(diff1)=0.0000, seasonality_candidate=yes. ARIMA orders were limited to low-order weekly models for interpretability and robustness, and SARIMA was only tested when the series showed stronger seasonal evidence.",3.9899,3.555,5.7694
Banana,weekly,478,8,2026-03-06,2026-04-24,arima_0_1_1,ARIMA,"order=(0, 1, 1)",0.0003,0.0,True,"Selected ARIMA with order=(0, 1, 1). ADF(level)=0.0003, ADF(diff1)=0.0000, seasonality_candidate=yes. ARIMA orders were limited to low-order weekly models for interpretability and robustness, and SARIMA was only tested when the series showed stronger seasonal evidence.",26.4563,25.3051,65.1468
Grape,weekly,478,8,2026-03-06,2026-04-24,arima_2_1_0,ARIMA,"order=(2, 1, 0)",0.0,0.0,True,"Selected ARIMA with order=(2, 1, 0). ADF(level)=0.0000, ADF(diff1)=0.0000, seasonality_candidate=yes. ARIMA orders were limited to low-order weekly models for interpretability and robustness, and SARIMA was only tested when the series showed stronger seasonal evidence.",30.4688,29.229,34.5727
Orange,weekly,478,8,2026-03-06,2026-04-24,sarima_1_1_1_0_1_1_4,SARIMA,"order=(1, 1, 1);seasonal_order=(0, 1, 1, 4)",0.0,0.0,True,"Selected SARIMA with order=(1, 1, 1);seasonal_order=(0, 1, 1, 4). ADF(level)=0.0000, ADF(diff1)=0.0000, seasonality_candidate=yes. ARIMA orders were limited to low-order weekly models for interpretability and robustness, and SARIMA was only tested when the series showed stronger seasonal evidence.",5.6423,5.3026,14.9837
Pear,weekly,478,8,2026-03-06,2026-04-24,exponential_smoothing,ETS,trend=add;seasonal=None,0.0,0.0,False,"Selected ETS with trend=add;seasonal=None. ADF(level)=0.0000, ADF(diff1)=0.0000, seasonality_candidate=no. ARIMA orders were limited to low-order weekly models for interpretability and robustness, and SARIMA was only tested when the series showed stronger seasonal evidence.",6.7654,5.1908,8.4339
