trade_date,fruit_category,crop_name_zh,crop_code,market_code,market_name,high_price_twd_per_kg,mid_price_twd_per_kg,low_price_twd_per_kg,avg_price_twd_per_kg,volume_kg,price_unit,volume_unit
2017-01-17,apple,蘋果-其他進口,x09,104,台北二,166.7,166.7,157.6,164.9,770.0,TWD/kg,kg
2017-01-17,apple,蘋果-富士進口,X69,104,台北二,170.3,120.2,45.1,115.2,41030.0,TWD/kg,kg
2017-01-17,apple,蘋果-金冠進口,X49,104,台北二,86.7,83.3,80.0,83.3,960.0,TWD/kg,kg
2017-01-18,apple,蘋果-其他進口,x09,104,台北二,166.7,158.9,146.7,158.0,960.0,TWD/kg,kg
2017-01-18,apple,蘋果-富士進口,X69,104,台北二,179.6,102.3,43.7,106.0,25910.0,TWD/kg,kg
2017-01-19,apple,蘋果-其他進口,x09,104,台北二,174.4,166.2,155.6,165.7,3150.0,TWD/kg,kg
2017-01-19,apple,蘋果-富士進口,X69,104,台北二,175.7,101.6,49.5,106.0,33320.0,TWD/kg,kg
2017-01-19,apple,蘋果-秋香進口,X29,104,台北二,86.7,86.7,86.7,86.7,200.0,TWD/kg,kg
2017-01-19,apple,蘋果-紅玉進口,X59,104,台北二,200.0,200.0,200.0,200.0,300.0,TWD/kg,kg
2017-01-20,apple,蘋果-其他進口,x09,104,台北二,183.2,177.0,166.3,176.1,4740.0,TWD/kg,kg
2017-01-20,apple,蘋果-富士進口,X69,104,台北二,179.5,124.5,47.2,120.1,43840.0,TWD/kg,kg
2017-01-20,apple,蘋果-秋香進口,X29,104,台北二,86.7,86.7,86.7,86.7,600.0,TWD/kg,kg
2017-01-20,apple,蘋果-紅玉進口,X59,104,台北二,205.6,186.7,186.7,190.5,1250.0,TWD/kg,kg
2017-01-20,apple,蘋果-金冠進口,X49,104,台北二,46.7,46.7,46.7,46.7,1630.0,TWD/kg,kg
2017-01-21,apple,蘋果-其他進口,x09,104,台北二,176.5,170.4,163.0,170.2,1360.0,TWD/kg,kg
2017-01-21,apple,蘋果-富士進口,X69,104,台北二,162.2,88.0,38.0,92.9,38220.0,TWD/kg,kg
2017-01-21,apple,蘋果-紅玉進口,X59,104,台北二,213.3,213.3,213.3,213.3,300.0,TWD/kg,kg
2017-01-21,apple,蘋果-金冠進口,X49,104,台北二,46.7,46.7,46.7,46.7,850.0,TWD/kg,kg
2017-01-22,apple,蘋果-其他進口,x09,104,台北二,166.7,157.0,140.0,155.5,1090.0,TWD/kg,kg
2017-01-22,apple,蘋果-富士進口,X69,104,台北二,166.4,105.8,49.5,106.7,39750.0,TWD/kg,kg
2017-01-22,apple,蘋果-紅玉進口,X59,104,台北二,220.8,204.1,190.1,204.6,940.0,TWD/kg,kg
2017-01-22,apple,蘋果-金冠進口,X49,104,台北二,66.7,66.7,66.7,66.7,750.0,TWD/kg,kg
2017-01-24,apple,蘋果-其他進口,x09,104,台北二,166.7,160.6,153.3,160.4,1310.0,TWD/kg,kg
2017-01-24,apple,蘋果-富士進口,X69,104,台北二,181.7,89.1,45.5,98.9,68534.0,TWD/kg,kg
2017-01-24,apple,蘋果-秋香進口,X29,104,台北二,86.7,86.7,86.7,86.7,300.0,TWD/kg,kg
2017-01-24,apple,蘋果-紅玉進口,X59,104,台北二,217.7,213.3,213.3,214.2,75.0,TWD/kg,kg
2017-01-24,apple,蘋果-金冠進口,X49,104,台北二,46.7,41.5,33.3,40.9,230.0,TWD/kg,kg
2017-01-25,apple,蘋果-其他進口,x09,104,台北二,180.0,166.9,156.2,167.4,960.0,TWD/kg,kg
2017-01-25,apple,蘋果-富士進口,X69,104,台北二,165.2,74.9,44.1,86.8,41215.0,TWD/kg,kg
2017-01-25,apple,蘋果-紅玉進口,X59,104,台北二,213.3,213.3,213.3,213.3,150.0,TWD/kg,kg
2017-01-25,apple,蘋果-金冠進口,X49,104,台北二,66.7,66.7,66.7,66.7,390.0,TWD/kg,kg
2017-01-26,apple,蘋果-其他進口,x09,104,台北二,173.3,168.0,160.9,167.6,1890.0,TWD/kg,kg
2017-01-26,apple,蘋果-富士進口,X69,104,台北二,162.6,83.8,46.4,92.1,35995.0,TWD/kg,kg
2017-01-26,apple,蘋果-金冠進口,X49,104,台北二,36.7,36.7,36.7,36.7,300.0,TWD/kg,kg
2017-01-27,apple,蘋果-富士進口,X69,104,台北二,193.2,121.5,81.1,127.8,7320.0,TWD/kg,kg
2017-02-02,apple,蘋果-富士進口,X69,104,台北二,112.7,48.7,37.9,59.3,10740.0,TWD/kg,kg
2017-02-02,apple,蘋果-金冠進口,X49,104,台北二,53.3,53.3,53.3,53.3,420.0,TWD/kg,kg
2017-02-03,apple,蘋果-富士進口,X69,104,台北二,109.7,55.7,42.4,63.8,15340.0,TWD/kg,kg
2017-02-03,apple,蘋果-惠,X3,104,台北二,35.0,35.0,35.0,35.0,29.0,TWD/kg,kg
2017-02-03,apple,蘋果-金冠進口,X49,104,台北二,53.3,40.4,33.3,41.6,1940.0,TWD/kg,kg
2017-02-04,apple,蘋果-富士進口,X69,104,台北二,153.7,51.2,31.7,67.8,20570.0,TWD/kg,kg
2017-02-07,apple,蘋果-五爪進口,X19,104,台北二,30.0,30.0,30.0,30.0,980.0,TWD/kg,kg
2017-02-07,apple,蘋果-富士進口,X69,104,台北二,100.1,47.8,41.6,57.0,34240.0,TWD/kg,kg
2017-02-07,apple,蘋果-秋香進口,X29,104,台北二,33.3,33.3,33.3,33.3,840.0,TWD/kg,kg
2017-02-08,apple,蘋果-富士進口,X69,104,台北二,104.4,52.0,37.0,59.5,10190.0,TWD/kg,kg
2017-02-08,apple,蘋果-金冠進口,X49,104,台北二,30.0,30.0,30.0,30.0,980.0,TWD/kg,kg
2017-02-09,apple,蘋果-富士進口,X69,104,台北二,135.0,49.0,33.6,63.2,7930.0,TWD/kg,kg
2017-02-10,apple,蘋果-五爪進口,X19,104,台北二,26.7,26.7,26.7,26.7,980.0,TWD/kg,kg
2017-02-10,apple,蘋果-富士進口,X69,104,台北二,129.5,76.8,51.2,82.2,10180.0,TWD/kg,kg
2017-02-11,apple,蘋果-其他進口,x09,104,台北二,133.3,133.3,133.3,133.3,100.0,TWD/kg,kg
2017-02-11,apple,蘋果-富士進口,X69,104,台北二,116.8,48.5,36.6,59.8,17820.0,TWD/kg,kg
2017-02-14,apple,蘋果-富士進口,X69,104,台北二,101.4,53.8,37.1,60.0,15862.0,TWD/kg,kg
2017-02-15,apple,蘋果-五爪,X1,104,台北二,55.0,55.0,55.0,55.0,10.0,TWD/kg,kg
2017-02-15,apple,蘋果-富士進口,X69,104,台北二,129.2,77.4,40.4,80.4,9498.0,TWD/kg,kg
2017-02-16,apple,蘋果-富士進口,X69,104,台北二,118.4,56.7,47.3,67.2,8518.0,TWD/kg,kg
2017-02-17,apple,蘋果-其他進口,x09,104,台北二,120.0,113.4,106.7,113.3,300.0,TWD/kg,kg
2017-02-17,apple,蘋果-富士進口,X69,104,台北二,102.0,59.9,46.3,65.6,18808.0,TWD/kg,kg
2017-02-18,apple,蘋果-五爪進口,X19,104,台北二,30.0,29.5,26.7,29.0,3420.0,TWD/kg,kg
2017-02-18,apple,蘋果-其他進口,x09,104,台北二,160.0,151.8,133.9,149.8,210.0,TWD/kg,kg
2017-02-18,apple,蘋果-富士進口,X69,104,台北二,77.2,51.6,38.1,54.0,36602.0,TWD/kg,kg
2017-02-18,apple,蘋果-惠,X3,104,台北二,65.0,56.7,40.0,55.0,250.0,TWD/kg,kg
2017-02-19,apple,蘋果-五爪進口,X19,104,台北二,30.0,27.3,26.7,27.7,2840.0,TWD/kg,kg
2017-02-19,apple,蘋果-富士進口,X69,104,台北二,85.0,45.3,38.8,51.9,16036.0,TWD/kg,kg
2017-02-19,apple,蘋果-惠,X3,104,台北二,65.0,65.0,65.0,65.0,125.0,TWD/kg,kg
2017-02-21,apple,蘋果-五爪進口,X19,104,台北二,30.0,30.0,30.0,30.0,980.0,TWD/kg,kg
2017-02-21,apple,蘋果-其他進口,x09,104,台北二,146.7,140.5,133.3,140.3,480.0,TWD/kg,kg
2017-02-21,apple,蘋果-富士進口,X69,104,台北二,117.6,55.7,37.4,64.4,12400.0,TWD/kg,kg
2017-02-22,apple,蘋果-富士進口,X69,104,台北二,119.7,51.8,40.5,63.1,9306.0,TWD/kg,kg
2017-02-23,apple,蘋果-富士進口,X69,104,台北二,138.2,86.4,41.3,87.7,10716.0,TWD/kg,kg
2017-02-24,apple,蘋果-其他進口,x09,104,台北二,126.7,126.7,126.7,126.7,320.0,TWD/kg,kg
2017-02-24,apple,蘋果-富士進口,X69,104,台北二,150.7,65.9,37.6,77.2,8130.0,TWD/kg,kg
2017-02-24,apple,蘋果-金冠進口,X49,104,台北二,36.7,36.7,36.7,36.7,500.0,TWD/kg,kg
2017-02-25,apple,蘋果-富士進口,X69,104,台北二,84.9,51.1,36.1,54.9,20680.0,TWD/kg,kg
2017-02-25,apple,蘋果-秋香進口,X29,104,台北二,73.3,73.3,73.3,73.3,150.0,TWD/kg,kg
2017-02-25,apple,蘋果-紅玉進口,X59,104,台北二,146.7,146.7,146.7,146.7,100.0,TWD/kg,kg
2017-02-26,apple,蘋果-五爪進口,X19,104,台北二,33.3,33.3,33.3,33.3,980.0,TWD/kg,kg
2017-02-26,apple,蘋果-富士進口,X69,104,台北二,103.7,53.9,44.7,62.0,15488.0,TWD/kg,kg
2017-02-26,apple,蘋果-惠,X3,104,台北二,90.0,90.0,90.0,90.0,300.0,TWD/kg,kg
2017-02-28,apple,蘋果-富士進口,X69,104,台北二,110.3,54.6,33.1,61.5,13874.0,TWD/kg,kg
2017-03-01,apple,蘋果-五爪進口,X19,104,台北二,33.3,33.3,33.3,33.3,980.0,TWD/kg,kg
2017-03-01,apple,蘋果-富士進口,X69,104,台北二,128.0,60.7,48.6,71.7,11490.0,TWD/kg,kg
2017-03-02,apple,蘋果-五爪進口,X19,104,台北二,33.3,33.3,33.3,33.3,980.0,TWD/kg,kg
2017-03-02,apple,蘋果-富士進口,X69,104,台北二,130.5,53.9,36.8,65.8,27166.0,TWD/kg,kg
2017-03-03,apple,蘋果-富士進口,X69,104,台北二,111.2,53.9,41.3,62.8,11430.0,TWD/kg,kg
2017-03-04,apple,蘋果-五爪,X1,104,台北二,110.0,110.0,110.0,110.0,325.0,TWD/kg,kg
2017-03-04,apple,蘋果-富士進口,X69,104,台北二,103.6,51.0,42.6,59.8,20880.0,TWD/kg,kg
2017-03-05,apple,蘋果-富士進口,X69,104,台北二,156.3,62.2,32.9,75.2,10520.0,TWD/kg,kg
2017-03-05,apple,蘋果-惠,X3,104,台北二,85.0,85.0,85.0,85.0,200.0,TWD/kg,kg
2017-03-07,apple,蘋果-五爪進口,X19,104,台北二,26.7,26.7,26.7,26.7,420.0,TWD/kg,kg
2017-03-07,apple,蘋果-富士進口,X69,104,台北二,89.3,50.8,42.7,56.9,23484.0,TWD/kg,kg
2017-03-07,apple,蘋果-紅玉進口,X59,104,台北二,133.4,133.4,133.3,133.3,40.0,TWD/kg,kg
2017-03-07,apple,蘋果-金冠進口,X49,104,台北二,40.0,40.0,40.0,40.0,280.0,TWD/kg,kg
2017-03-08,apple,蘋果-五爪進口,X19,104,台北二,26.7,26.7,26.7,26.7,420.0,TWD/kg,kg
2017-03-08,apple,蘋果-富士進口,X69,104,台北二,81.8,46.8,33.8,51.2,23886.0,TWD/kg,kg
2017-03-09,apple,蘋果-其他進口,x09,104,台北二,113.3,107.8,106.7,108.7,500.0,TWD/kg,kg
2017-03-09,apple,蘋果-富士進口,X69,104,台北二,147.8,50.7,34.4,66.9,13602.0,TWD/kg,kg
2017-03-10,apple,蘋果-五爪進口,X19,104,台北二,26.7,26.7,26.7,26.7,120.0,TWD/kg,kg
2017-03-10,apple,蘋果-富士進口,X69,104,台北二,112.8,56.5,34.5,63.4,19830.0,TWD/kg,kg
2017-03-11,apple,蘋果-五爪進口,X19,104,台北二,26.7,26.7,26.7,26.7,280.0,TWD/kg,kg
2017-03-11,apple,蘋果-其他進口,x09,104,台北二,126.7,126.7,126.7,126.7,100.0,TWD/kg,kg
2017-03-11,apple,蘋果-富士進口,X69,104,台北二,92.0,49.7,34.7,55.2,28728.0,TWD/kg,kg
2017-03-11,apple,蘋果-惠,X3,104,台北二,92.1,87.5,85.0,87.9,300.0,TWD/kg,kg
2017-03-12,apple,蘋果-其他進口,x09,104,台北二,120.0,115.7,113.3,116.1,480.0,TWD/kg,kg
2017-03-12,apple,蘋果-富士進口,X69,104,台北二,135.6,54.0,32.3,66.0,12185.0,TWD/kg,kg
2017-03-14,apple,蘋果-富士進口,X69,104,台北二,90.6,45.1,30.6,51.3,34006.0,TWD/kg,kg
2017-03-15,apple,蘋果-富士進口,X69,104,台北二,129.5,63.8,42.7,72.7,13650.0,TWD/kg,kg
2017-03-16,apple,蘋果-五爪進口,X19,104,台北二,26.7,26.7,26.7,26.7,3200.0,TWD/kg,kg
2017-03-16,apple,蘋果-富士進口,X69,104,台北二,109.5,48.5,32.2,57.5,10462.0,TWD/kg,kg
2017-03-16,apple,蘋果-金冠進口,X49,104,台北二,40.0,40.0,40.0,40.0,400.0,TWD/kg,kg
2017-03-17,apple,蘋果-富士進口,X69,104,台北二,108.8,45.9,31.2,55.5,28396.0,TWD/kg,kg
2017-03-18,apple,蘋果-富士進口,X69,104,台北二,97.1,43.8,31.8,52.1,35532.0,TWD/kg,kg
2017-03-19,apple,蘋果-五爪進口,X19,104,台北二,26.7,26.7,26.7,26.7,980.0,TWD/kg,kg
2017-03-19,apple,蘋果-其他進口,x09,104,台北二,120.0,120.0,120.0,120.0,300.0,TWD/kg,kg
